
"id","ts","circuit9_cumul","circuit10_cumul","circuit11_cumul","circuit12_cumul","circuit13_cumul","circuit14_cumul","circuit15_cumul","circuit16_cumul","circuit9_curr","circuit10_curr","circuit11_curr","circuit12_curr","circuit13_curr","circuit14_curr","circuit15_curr","circuit16_curr"
1,"2016-01-05 10:43:33.083417","","","",7385,"",36760,36992,36300,"","","",174,"",1,1,1
2,"2016-01-05 10:43:35.099491","","","",7385,"",36760,36992,36300,"","","",174,"",1,1,1
3,"2016-01-05 10:43:37.125069","","","",7385,"",36760,36992,36300,"","","",174,"",1,1,1
4,"2016-01-05 10:43:39.152047","","","",7385,"",36760,36992,36300,"","","",174,"",1,1,1
5,"2016-01-05 10:43:41.177871","","","",7385,"",36760,36992,36300,"","","",174,"",1,1,1
6,"2016-01-05 10:43:43.204096","","","",7385,"",36760,36992,36300,"","","",174,"",1,1,1
7,"2016-01-05 10:46:09.920441","","","",7392,"",36760,36992,36300,"","","",279,"",1,1,1
8,"2016-01-05 10:46:11.935362","","","",7392,"",36760,36992,36300,"","","",241,"",1,1,1
9,"2016-01-05 10:46:13.961697","","","",7392,"",36760,36992,36300,"","","",212,"",1,1,1
10,"2016-01-05 10:46:15.987676","","","",7393,"",36760,36992,36300,"","","",191,"",1,1,1
11,"2016-01-05 10:46:18.013265","","","",7393,"",36760,36992,36300,"","","",191,"",1,1,1
12,"2016-01-05 10:46:20.040321","","","",7393,"",36760,36992,36300,"","","",191,"",1,1,1
13,"2016-01-05 10:46:22.066001","","","",7393,"",36760,36992,36300,"","","",191,"",1,1,1
14,"2016-01-05 10:46:24.091807","","","",7393,"",36760,36992,36300,"","","",191,"",1,1,1
15,"2016-01-05 10:46:26.118450","","","",7393,"",36760,36992,36300,"","","",191,"",1,1,1
16,"2016-01-05 10:46:28.144274","","","",7394,"",36760,36992,36300,"","","",314,"",1,1,1
17,"2016-01-05 10:46:30.171040","","","",7394,"",36760,36992,36300,"","","",314,"",1,1,1
18,"2016-01-05 10:46:32.197518","","","",7394,"",36760,36992,36300,"","","",314,"",1,1,1
19,"2016-01-05 10:46:34.223352","","","",7394,"",36760,36992,36300,"","","",314,"",1,1,1
20,"2016-01-05 10:46:36.249157","","","",7394,"",36760,36992,36300,"","","",314,"",1,1,1
21,"2016-01-05 10:46:38.276051","","","",7395,"",36760,36992,36300,"","","",328,"",1,1,1
22,"2016-01-05 10:46:40.301964","","","",7395,"",36760,36992,36300,"","","",328,"",1,1,1
23,"2016-01-05 10:46:42.328215","","","",7395,"",36760,36992,36300,"","","",328,"",1,1,1
24,"2016-01-05 10:46:44.353211","","","",7395,"",36760,36992,36300,"","","",328,"",1,1,1
25,"2016-01-05 10:46:46.379203","","","",7395,"",36760,36992,36300,"","","",328,"",1,1,1
26,"2016-01-05 10:46:48.405618","","","",7395,"",36760,36992,36300,"","","",328,"",1,1,1
27,"2016-01-05 10:46:50.432331","","","",7395,"",36760,36992,36300,"","","",295,"",1,1,1
28,"2016-01-05 10:46:52.458072","","","",7395,"",36760,36992,36300,"","","",253,"",1,1,1
29,"2016-01-05 10:46:54.484160","","","",7395,"",36760,36992,36300,"","","",221,"",1,1,1
30,"2016-01-05 10:46:56.510682","","","",7395,"",36760,36992,36300,"","","",196,"",1,1,1
31,"2016-01-05 10:46:58.536435","","","",7396,"",36760,36992,36300,"","","",183,"",1,1,1
32,"2016-01-05 10:47:00.562342","","","",7396,"",36760,36992,36300,"","","",183,"",1,1,1
33,"2016-01-05 10:47:02.588930","","","",7396,"",36760,36992,36300,"","","",183,"",1,1,1
34,"2016-01-05 10:47:04.614959","","","",7396,"",36760,36992,36300,"","","",183,"",1,1,1
35,"2016-01-05 10:47:06.640844","","","",7396,"",36760,36992,36300,"","","",183,"",1,1,1
36,"2016-01-05 11:42:56.015680","","","",7689,"",36760,36992,36300,"","","",117,"",0,0,0
37,"2016-01-05 11:42:58.030754","","","",7689,"",36760,36992,36300,"","","",117,"",0,0,0
38,"2016-01-05 11:43:00.058264","","","",7689,"",36760,36992,36300,"","","",117,"",0,0,0
39,"2016-01-05 11:43:02.084787","","","",7689,"",36760,36992,36300,"","","",117,"",0,0,0
40,"2016-01-05 11:43:04.111721","","","",7689,"",36760,36992,36300,"","","",117,"",0,0,0
41,"2016-01-05 11:43:06.137722","","","",7689,"",36760,36992,36300,"","","",117,"",0,0,0
42,"2016-01-05 11:46:21.535536","","","",7697,"",36760,36992,36300,"","","",175,"",0,0,0
43,"2016-01-05 11:46:23.550846","","","",7697,"",36760,36992,36300,"","","",175,"",0,0,0
44,"2016-01-05 13:00:38.881508","","","",7888,"",36760,36992,36300,"","","",175,"",0,0,0
45,"2016-01-05 13:00:40.897828","","","",7888,"",36760,36992,36300,"","","",175,"",0,0,0
46,"2016-01-05 13:00:42.923608","","","",7888,"",36760,36992,36300,"","","",175,"",0,0,0
47,"2016-01-05 13:00:44.950266","","","",7888,"",36760,36992,36300,"","","",175,"",0,0,0
48,"2016-01-05 13:00:46.976177","","","",7888,"",36760,36992,36300,"","","",175,"",0,0,0
49,"2016-01-05 13:00:49.002636","","","",7888,"",36760,36992,36300,"","","",175,"",0,0,0
50,"2016-01-05 13:00:51.029897","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
51,"2016-01-05 13:00:53.055807","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
52,"2016-01-05 13:00:55.081779","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
53,"2016-01-05 13:00:57.108237","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
54,"2016-01-05 13:00:59.133914","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
55,"2016-01-05 13:01:01.160115","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
56,"2016-01-05 13:01:03.186734","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
57,"2016-01-05 13:01:05.212791","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
58,"2016-01-05 13:01:07.238488","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
59,"2016-01-05 13:01:09.265154","","","",7889,"",36760,36992,36300,"","","",175,"",0,0,0
60,"2016-01-05 13:01:11.291305","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
61,"2016-01-05 13:01:13.317165","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
62,"2016-01-05 13:01:15.344296","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
63,"2016-01-05 13:01:17.369993","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
64,"2016-01-05 13:01:19.396073","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
65,"2016-01-05 13:01:21.421969","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
66,"2016-01-05 13:01:23.448041","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
67,"2016-01-05 13:01:25.473987","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
68,"2016-01-05 13:01:27.500698","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
69,"2016-01-05 13:01:29.527826","","","",7890,"",36760,36992,36300,"","","",170,"",0,0,0
70,"2016-01-05 13:01:31.553637","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
71,"2016-01-05 13:01:33.580333","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
72,"2016-01-05 13:01:35.604669","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
73,"2016-01-05 13:01:37.632122","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
74,"2016-01-05 13:01:39.658736","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
75,"2016-01-05 13:01:41.684465","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
76,"2016-01-05 13:01:43.710271","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
77,"2016-01-05 13:01:45.736911","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
78,"2016-01-05 13:01:47.762650","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
79,"2016-01-05 13:01:49.789515","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
80,"2016-01-05 13:01:51.816023","","","",7891,"",36760,36992,36300,"","","",175,"",0,0,0
81,"2016-01-05 13:01:53.841856","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
82,"2016-01-05 13:01:55.867989","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
83,"2016-01-05 13:01:57.897386","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
84,"2016-01-05 13:01:59.920741","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
85,"2016-01-05 13:02:01.946505","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
86,"2016-01-05 13:02:03.973080","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
87,"2016-01-05 13:02:05.997463","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
88,"2016-01-05 13:02:08.025246","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
89,"2016-01-05 13:02:10.052340","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
90,"2016-01-05 13:02:12.077991","","","",7892,"",36760,36992,36300,"","","",175,"",0,0,0
91,"2016-01-05 13:02:14.104680","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
92,"2016-01-05 13:02:16.130642","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
93,"2016-01-05 13:02:18.156515","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
94,"2016-01-05 13:02:20.183738","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
95,"2016-01-05 13:02:22.209488","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
96,"2016-01-05 13:02:24.235403","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
97,"2016-01-05 13:02:26.261873","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
98,"2016-01-05 13:02:28.289029","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
99,"2016-01-05 13:02:30.315249","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
100,"2016-01-05 13:02:32.341777","","","",7893,"",36760,36992,36300,"","","",175,"",0,0,0
101,"2016-01-05 13:02:34.366176","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
102,"2016-01-05 13:02:36.392009","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
103,"2016-01-05 13:02:38.418579","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
104,"2016-01-05 13:02:40.444784","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
105,"2016-01-05 13:02:42.470592","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
106,"2016-01-05 13:02:44.497489","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
107,"2016-01-05 13:02:46.523862","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
108,"2016-01-05 13:02:48.550330","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
109,"2016-01-05 13:02:50.577350","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
110,"2016-01-05 13:02:52.603478","","","",7894,"",36760,36992,36300,"","","",175,"",0,0,0
111,"2016-01-05 13:02:54.629489","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
112,"2016-01-05 13:02:56.656293","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
113,"2016-01-05 13:02:58.682024","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
114,"2016-01-05 13:03:00.708137","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
115,"2016-01-05 13:03:02.734648","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
116,"2016-01-05 13:03:04.760751","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
117,"2016-01-05 13:03:06.784923","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
118,"2016-01-05 13:03:08.813800","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
119,"2016-01-05 13:03:10.839700","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
120,"2016-01-05 13:03:12.865488","","","",7895,"",36760,36992,36300,"","","",174,"",0,0,0
121,"2016-01-05 13:03:14.892515","","","",7895,"",36760,36992,36300,"","","",169,"",0,0,0
122,"2016-01-05 13:04:57.129299","","","",7899,"",36760,36992,36300,"","","",169,"",0,0,0
123,"2016-01-05 13:04:59.146610","","","",7899,"",36760,36992,36300,"","","",169,"",0,0,0
124,"2016-01-05 13:05:01.172626","","","",7899,"",36760,36992,36300,"","","",169,"",0,0,0
125,"2016-01-05 13:05:03.199671","","","",7899,"",36760,36992,36300,"","","",169,"",0,0,0
126,"2016-01-05 13:05:05.225713","","","",7899,"",36760,36992,36300,"","","",169,"",0,0,0
127,"2016-01-05 13:05:07.251835","","","",7899,"",36760,36992,36300,"","","",169,"",0,0,0
128,"2016-01-05 13:05:09.278584","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
129,"2016-01-05 13:05:11.304522","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
130,"2016-01-05 13:05:13.330204","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
131,"2016-01-05 13:05:15.357040","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
132,"2016-01-05 13:05:17.383182","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
133,"2016-01-05 13:05:19.409188","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
134,"2016-01-05 13:05:21.436087","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
135,"2016-01-05 13:05:23.461988","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
136,"2016-01-05 13:05:25.488485","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
137,"2016-01-05 13:05:27.515312","","","",7900,"",36760,36992,36300,"","","",174,"",0,0,0
138,"2016-01-05 13:05:29.542060","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
139,"2016-01-05 13:05:31.568066","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
140,"2016-01-05 13:05:33.594597","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
141,"2016-01-05 13:05:35.620830","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
142,"2016-01-05 13:05:37.646538","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
143,"2016-01-05 13:05:39.673416","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
144,"2016-01-05 13:05:41.699693","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
145,"2016-01-05 13:05:43.725491","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
146,"2016-01-05 13:05:45.752735","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
147,"2016-01-05 13:05:47.778437","","","",7901,"",36760,36992,36300,"","","",175,"",0,0,0
148,"2016-01-05 13:05:49.805244","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
149,"2016-01-05 13:05:51.832342","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
150,"2016-01-05 13:05:53.858185","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
151,"2016-01-05 13:05:55.888316","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
152,"2016-01-05 13:05:57.915060","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
153,"2016-01-05 13:05:59.941112","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
154,"2016-01-05 13:06:01.967384","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
155,"2016-01-05 13:06:03.993958","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
156,"2016-01-05 13:06:06.018824","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
157,"2016-01-05 13:06:08.046119","","","",7902,"",36760,36992,36300,"","","",169,"",0,0,0
158,"2016-01-05 13:06:10.072896","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
159,"2016-01-05 13:06:12.098649","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
160,"2016-01-05 13:06:14.125331","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
161,"2016-01-05 13:06:16.154582","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
162,"2016-01-05 13:06:18.177498","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
163,"2016-01-05 13:06:20.204608","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
164,"2016-01-05 13:06:22.230437","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
165,"2016-01-05 13:06:24.256519","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
166,"2016-01-05 13:06:26.283678","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
167,"2016-01-05 13:06:28.309527","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
168,"2016-01-05 13:06:30.335822","","","",7903,"",36760,36992,36300,"","","",175,"",0,0,0
169,"2016-01-05 13:06:32.362204","","","",7903,"",36760,36992,36300,"","","",160,"",0,0,0
170,"2016-01-05 13:06:34.388393","","","",7904,"",36760,36992,36300,"","","",155,"",0,0,0
171,"2016-01-05 13:06:36.412463","","","",7904,"",36760,36992,36300,"","","",155,"",0,0,0
172,"2016-01-05 13:06:38.440640","","","",7904,"",36760,36992,36300,"","","",155,"",0,0,0
173,"2016-01-05 16:37:26.173132","","","",8581,"",36891,37122,36430,"","","",145,"",56,55,56
174,"2016-01-05 16:37:28.191570","","","",8581,"",36891,37122,36430,"","","",145,"",54,54,54
175,"2016-01-05 16:37:30.218295","","","",8581,"",36891,37122,36430,"","","",145,"",52,52,53
176,"2016-01-05 16:37:32.244192","","","",8581,"",36891,37122,36430,"","","",145,"",51,51,51
177,"2016-01-05 16:37:34.270776","","","",8581,"",36891,37122,36430,"","","",145,"",49,49,50
178,"2016-01-05 16:38:24.453174","","","",8584,"",36891,37122,36430,"","","",273,"",29,29,29
179,"2016-01-05 16:39:06.108035","","","",8586,"",36891,37122,36430,"","","",163,"",21,21,22
180,"2016-01-05 16:39:11.126432","","","",8586,"",36891,37122,36430,"","","",163,"",21,21,21
181,"2016-01-05 16:39:16.156038","","","",8587,"",36891,37122,36430,"","","",188,"",20,20,20
182,"2016-01-05 16:39:21.185721","","","",8587,"",36891,37122,36430,"","","",188,"",20,20,20
183,"2016-01-05 16:39:27.214557","","","",8587,"",36891,37122,36430,"","","",188,"",19,19,19
184,"2016-01-05 16:39:32.243175","","","",8587,"",36893,37124,36431,"","","",183,"",2581,2750,19
185,"2016-01-05 16:39:37.273101","","","",8587,"",36896,37128,36435,"","","",145,"",2567,2740,2676
186,"2016-01-05 16:39:42.302953","","","",8588,"",36900,37131,36439,"","","",122,"",2631,2712,2719
187,"2016-01-05 16:39:47.332318","","","",8588,"",36904,37135,36442,"","","",122,"",2664,2614,2684
188,"2016-01-05 16:39:52.361351","","","",8588,"",36907,37139,36446,"","","",122,"",2665,2611,2684
189,"2016-01-05 16:39:58.787902","","","",8588,"",36912,37143,36451,"","","",122,"",2645,2697,2656
190,"2016-01-05 16:42:24.912007","","","",8595,"",36961,37194,36501,"","","",179,"",45,45,45
191,"2016-01-05 16:42:29.932699","","","",8596,"",36961,37194,36501,"","","",174,"",42,42,42
192,"2016-01-05 16:42:34.962521","","","",8596,"",36961,37194,36501,"","","",174,"",40,40,40
193,"2016-01-05 16:42:41.545395","","","",8596,"",36961,37194,36501,"","","",174,"",37,37,37
194,"2016-01-05 16:42:46.565479","","","",8596,"",36961,37194,36501,"","","",174,"",35,35,35
195,"2016-01-05 16:42:51.595510","","","",8597,"",36961,37194,36501,"","","",175,"",33,34,34
196,"2016-01-05 16:42:56.625223","","","",8597,"",36961,37194,36501,"","","",175,"",32,32,32
