ts;measurements;value;temp_min;temp_max;hum_avg
01-01-15;287;2.1;1.0;3.4;98.88
02-01-15;282;3.1;2.2;4.2;98.20
03-01-15;239;1.1;-0.3;2.2;95.93
04-01-15;285;-2.7;-5.3;-0.3;95.62
05-01-15;285;-9.5;-13.5;-5.3;93.94
06-01-15;285;-13.4;-15.4;-6.1;94.09
07-01-15;286;-3.8;-6.5;-2.4;93.12
08-01-15;286;-0.4;-2.7;2.0;96.51
09-01-15;285;0.5;-0.6;1.7;98.94
10-01-15;286;-1.4;-3.1;0.0;97.13
11-01-15;285;-5.9;-12.7;-0.3;95.32
12-01-15;285;-11.0;-13.5;-3.0;94.38
13-01-15;286;-0.1;-2.9;1.2;96.90
14-01-15;286;0.7;-0.3;1.9;98.20
15-01-15;285;0.5;-0.4;1.6;97.59
16-01-15;286;1.3;0.0;2.5;97.66
17-01-15;285;2.0;0.3;2.6;97.83
18-01-15;287;1.2;0.5;1.9;98.10
19-01-15;285;-0.9;-2.7;0.5;97.25
20-01-15;286;-2.6;-3.8;-1.7;94.85
21-01-15;286;-4.4;-9.6;-1.9;93.98
22-01-15;286;-7.2;-8.4;-5.9;94.58
23-01-15;285;-3.9;-6.5;0.1;95.33
24-01-15;285;-1.6;-4.6;-0.3;95.02
25-01-15;285;-1.3;-1.8;-0.5;93.89
26-01-15;286;0.2;-0.5;0.9;95.95
27-01-15;285;-0.2;-1.1;0.7;95.56
28-01-15;286;0.3;-1.0;0.9;96.75
29-01-15;285;0.2;-0.2;0.7;93.97
30-01-15;286;0.2;-1.0;1.0;91.58
31-01-15;285;0.4;0.1;0.9;93.92
01-02-15;286;0.2;0.1;0.6;96.29
02-02-15;286;0.3;0.2;0.7;96.80
03-02-15;285;-0.3;-1.9;0.5;95.49
04-02-15;286;-1.6;-3.5;-0.4;95.15
05-02-15;285;-1.4;-2.8;-0.3;94.45
06-02-15;283;-0.3;-2.5;1.9;94.39
07-02-15;286;0.2;-1.8;1.2;94.49
08-02-15;285;-3.4;-7.3;-1.1;78.27
09-02-15;286;-3.7;-8.7;0.7;89.62
10-02-15;286;2.6;0.1;6.3;88.68
11-02-15;287;2.1;1.1;5.8;87.55
12-02-15;286;1.1;-0.4;1.8;94.08
13-02-15;285;0.1;-2.5;1.8;98.97
14-02-15;285;0.0;-1.5;0.7;99.58
15-02-15;285;-6.0;-9.0;-1.6;95.30
16-02-15;285;-3.9;-9.0;-1.9;95.11
17-02-15;286;-2.4;-4.4;-0.5;95.94
18-02-15;286;0.6;-1.2;3.0;98.44
19-02-15;286;1.7;0.1;2.3;100.00
20-02-15;285;1.7;0.3;2.1;100.00
21-02-15;285;1.1;0.2;1.8;100.00
22-02-15;287;1.4;0.6;2.6;100.00
23-02-15;285;1.6;0.5;3.4;96.34
24-02-15;285;1.9;0.9;2.4;94.17
25-02-15;286;2.1;0.0;4.1;92.00
26-02-15;285;0.5;-1.2;1.6;94.14
27-02-15;271;0.7;-0.5;3.4;93.08
28-02-15;195;0.9;-0.3;1.5;92.28
01-03-15;286;1.3;0.7;2.1;92.43
02-03-15;286;1.7;1.3;2.0;93.44
03-03-15;285;1.6;0.6;2.3;94.54
04-03-15;287;1.2;0.4;3.1;94.29
05-03-15;286;1.2;0.0;3.1;92.88
06-03-15;286;1.0;0.0;2.4;92.88
07-03-15;285;1.6;0.2;3.0;94.51
08-03-15;285;3.4;2.6;4.3;94.30
09-03-15;286;3.8;-1.1;9.7;88.16
10-03-15;285;2.2;-1.2;4.8;90.30
11-03-15;286;3.0;-1.6;7.5;83.48
